District,Grade1,Grade2,Grade3,Grade4,Grade5,Grade6,Grade7,Grade8,Grade9,Grade10,Grade11,Grade12
Taplejung,1722,1452,1245,1027,929,589,526,464,320,256,109,114
Sankhuwasabha,1022,666,579,512,481,435,311,267,206,148,56,53
Solukhumbu,1030,663,548,471,408,376,293,270,162,102,49,32
Panchthar,1058,622,679,673,530,468,374,331,259,222,80,65
Ilam,857,658,681,592,585,510,439,500,298,231,101,51
Dhankuta,684,546,506,486,403,419,324,288,201,189,104,66
Tehrathum,1140,721,704,601,559,455,402,364,224,195,101,97
Bhojpur,1445,1035,881,748,716,661,484,437,320,230,88,67
Okhaldhunga,1348,911,716,695,653,570,499,394,356,224,98,98
Khotang,2837,1413,1283,1096,978,878,691,615,472,344,113,95
Udayapur,2730,2248,1991,1720,1630,1476,1430,1047,711,568,247,133
Jhapa,4342,3391,3285,3091,2773,2629,2138,1964,1134,966,368,307
Morang,8376,6401,5366,4792,4346,3327,2913,2126,1667,1254,384,334
Sunsari,6297,5311,3903,3383,2823,2150,1824,1356,1005,787,297,188
Saptari,12180,9091,6578,5110,4214,3279,2647,2174,1417,944,256,298
Siraha,10293,8884,6973,5485,4562,3189,3013,1951,1390,1032,503,303
Dolakha,1613,968,840,848,775,738,664,530,379,295,121,98
Sindhupalchok,1909,1368,1171,957,887,687,566,475,385,248,122,87
Rasuwa,122,91,55,51,65,55,30,36,25,28,9,5
Sindhuli,4284,2650,2357,1829,1802,1421,1357,882,524,484,245,194
Ramechhap,1538,1106,928,888,830,764,715,620,484,332,136,163
Kavrepalanchok,1652,1252,1163,1030,928,804,684,578,463,381,84,54
Nuwakot,1703,1276,1066,859,790,712,632,529,451,302,59,50
Dhading,3206,2344,2011,1824,1550,1274,1107,720,572,420,170,93
Makwanpur,1287,985,883,845,724,643,566,461,338,249,68,42
Dhanusa,10773,8998,6983,6331,4769,2742,2305,1706,1231,1006,218,199
Mahottari,12815,11583,8374,6508,5485,3844,2864,2126,1317,1018,176,153
Sarlahi,18332,12093,8221,5654,3713,2005,1855,1491,944,684,244,164
Rautahat,16484,13611,10627,6449,4453,2709,2303,1680,1496,1079,465,509
Bara,12986,7619,5746,3935,3115,2053,1285,975,760,568,113,135
Parsa,10245,7030,5456,3607,2621,1520,1173,967,689,488,29,23
Chitawan,2152,2005,2060,1948,1692,1729,1454,1228,1060,905,176,107
Lalitpur,635,601,602,641,599,520,608,541,439,406,121,101
Bhaktapur,360,271,268,312,264,217,218,198,167,161,102,80
Kathmandu,2067,1532,1529,1535,1423,1360,1174,1130,977,881,86,39
Manang,11,11,11,11,8,5,10,2,8,2,5,1
Mustang,101,60,78,67,72,54,44,40,34,21,14,7
Gorkha,2515,2123,2183,2038,1729,1689,1264,1048,765,479,145,98
Lamjung,2244,1659,1627,1543,1347,1208,985,778,636,427,140,92
Tanahu,3166,2404,2366,2259,2113,1929,1566,1295,1003,767,232,148
Syangja,2503,2242,2289,2154,1988,1751,1496,1286,1127,754,383,264
Kaski,3053,2738,2862,2802,2709,2629,2244,1954,1614,1428,734,622
Myagdi,1784,1379,1253,1226,1081,954,723,577,448,293,78,41
Parbat,2059,1740,1648,1503,1372,1248,1015,905,693,565,231,200
Baglung,6136,3830,3554,3116,2790,2473,1833,1425,1095,722,326,239
Gulmi,4901,3258,3023,2700,2307,1821,1424,1093,795,620,123,202
Palpa,1755,1436,1345,1375,1287,1164,1017,767,580,537,248,228
Arghakhanchi,3415,2302,2107,1898,1704,1545,1127,923,706,567,158,141
Nawalparasi,5691,4237,3892,3625,3198,2530,2085,1664,1222,947,395,296
Rupandehi,6589,5247,4729,4381,3708,2830,2321,1895,1394,1135,325,242
Kapilbastu,6503,5335,4030,3431,2697,1641,1448,1014,661,545,206,140
Dolpa,364,278,239,173,176,100,61,60,76,29,4,6
Jumla,2506,1040,850,629,558,407,323,228,195,148,38,6
Kalikot,3861,2039,1777,1498,1346,1091,901,877,480,409,0,0
Mugu,736,497,459,400,450,516,318,202,148,109,16,25
Humla,1389,360,317,233,192,163,111,84,83,54,26,18
Pyuthan,4461,2798,2388,2030,1684,1235,908,852,378,398,115,110
Rolpa,4824,2507,1892,1604,1214,928,659,423,280,163,59,50
Rukum,7572,4041,3478,3034,2755,1588,1339,1272,819,740,0,0
Salyan,4236,2460,2264,2141,1923,1610,1358,1033,664,498,203,133
Surkhet,5972,3927,3810,3478,2897,2728,2046,1750,1212,979,708,273
Dailekh,6653,4397,3872,3247,2772,2486,2051,1391,869,715,264,224
Jajarkot,8317,5081,4361,3357,2777,1958,1651,1282,967,796,334,253
Dang,4162,3220,2964,2845,2392,2008,1615,1230,879,579,249,145
Banke,4865,3571,3039,2663,2345,1791,1442,1262,805,676,452,243
Bardiya,2438,2036,2147,2088,1823,1613,1171,1205,511,452,160,86
Bajura,4181,2142,1991,1649,1360,1263,1010,727,484,425,144,119
Bajhang,4987,2366,1881,1451,1225,924,761,613,433,370,162,187
Darchula,1738,793,588,579,476,417,364,308,251,168,101,96
Achham,10454,5303,4381,3475,3031,2638,1932,1400,1011,868,184,210
Doti,6481,3128,2315,1932,1539,1193,929,556,506,315,82,117
Dadeldhura,1916,1440,1442,1530,1185,1096,762,648,328,327,112,125
Baitadi,5886,3285,2748,2280,1941,1575,1256,977,687,536,177,117
Kailali,7836,5485,4809,4565,4166,3457,2572,2157,1473,1119,275,219
Kanchanpur,3505,3099,3003,2993,2588,2099,1753,1391,1092,784,250,190
Total,323290,226690,190270,160536,136000,107563,87763,70015,50255,39093,13556,10510